Date,Employee_ID,Employee_Name,Project_ID,Job_Code,Regular_Hours,Overtime_Hours,Total_Hours
2025-06-09,1000,Worker_1,PRJ102,Laborer,6.0,0,6.0
2025-06-10,1000,Worker_1,PRJ102,Laborer,9.0,0,9.0
2025-06-11,1000,Worker_1,PRJ102,Laborer,7.5,0,7.5
2025-06-12,1000,Worker_1,PRJ102,Laborer,8.0,2,10.0
2025-06-13,1000,Worker_1,PRJ102,Laborer,8.0,1,9.0
2025-06-16,1000,Worker_1,PRJ102,Laborer,8.0,2,10.0
2025-06-17,1000,Worker_1,PRJ102,Laborer,7.5,0,7.5
2025-06-18,1000,Worker_1,PRJ102,Laborer,6.0,0,6.0
2025-06-19,1000,Worker_1,PRJ102,Laborer,7.5,0,7.5
2025-06-20,1000,Worker_1,PRJ102,Laborer,8.0,2,10.0
2025-06-09,1001,Worker_2,PRJ104,Welder,9.0,0,9.0
2025-06-10,1001,Worker_2,PRJ104,Welder,8.0,0,8.0
2025-06-11,1001,Worker_2,PRJ104,Welder,7.5,0,7.5
2025-06-12,1001,Worker_2,PRJ104,Welder,8.0,0,8.0
2025-06-13,1001,Worker_2,PRJ104,Welder,8.0,1,9.0
2025-06-16,1001,Worker_2,PRJ104,Welder,8.0,0,8.0
2025-06-17,1001,Worker_2,PRJ104,Welder,8.0,1,9.0
2025-06-18,1001,Worker_2,PRJ104,Welder,6.0,0,6.0
2025-06-19,1001,Worker_2,PRJ104,Welder,8.0,0,8.0
2025-06-20,1001,Worker_2,PRJ104,Welder,9.0,2,11.0
2025-06-09,1002,Worker_3,PRJ101,Welder,8.0,2,10.0
2025-06-10,1002,Worker_3,PRJ101,Welder,7.5,0,7.5
2025-06-11,1002,Worker_3,PRJ101,Welder,8.0,0,8.0
2025-06-12,1002,Worker_3,PRJ101,Welder,6.0,0,6.0
2025-06-13,1002,Worker_3,PRJ101,Welder,8.0,0,8.0
2025-06-16,1002,Worker_3,PRJ101,Welder,8.0,0,8.0
2025-06-17,1002,Worker_3,PRJ101,Welder,8.0,2,10.0
2025-06-18,1002,Worker_3,PRJ101,Welder,7.5,0,7.5
2025-06-19,1002,Worker_3,PRJ101,Welder,8.0,0,8.0
2025-06-20,1002,Worker_3,PRJ101,Welder,7.5,0,7.5
2025-06-09,1003,Worker_4,PRJ103,Laborer,8.0,0,8.0
2025-06-10,1003,Worker_4,PRJ103,Laborer,8.0,0,8.0
2025-06-11,1003,Worker_4,PRJ103,Laborer,8.0,0,8.0
2025-06-12,1003,Worker_4,PRJ103,Laborer,6.0,0,6.0
2025-06-13,1003,Worker_4,PRJ103,Laborer,8.0,2,10.0
2025-06-16,1003,Worker_4,PRJ103,Laborer,8.0,1,9.0
2025-06-17,1003,Worker_4,PRJ103,Laborer,8.0,0,8.0
2025-06-18,1003,Worker_4,PRJ103,Laborer,7.5,0,7.5
2025-06-19,1003,Worker_4,PRJ103,Laborer,9.0,2,11.0
2025-06-20,1003,Worker_4,PRJ103,Laborer,8.0,0,8.0
2025-06-09,1004,Worker_5,PRJ101,Electrician,8.0,0,8.0
2025-06-10,1004,Worker_5,PRJ101,Electrician,6.0,0,6.0
2025-06-11,1004,Worker_5,PRJ101,Electrician,8.0,1,9.0
2025-06-12,1004,Worker_5,PRJ101,Electrician,8.0,1,9.0
2025-06-13,1004,Worker_5,PRJ101,Electrician,8.0,1,9.0
2025-06-16,1004,Worker_5,PRJ101,Electrician,6.0,0,6.0
2025-06-17,1004,Worker_5,PRJ101,Electrician,6.0,0,6.0
2025-06-18,1004,Worker_5,PRJ101,Electrician,8.0,2,10.0
2025-06-19,1004,Worker_5,PRJ101,Electrician,8.0,0,8.0
2025-06-20,1004,Worker_5,PRJ101,Electrician,8.0,0,8.0
2025-06-09,1005,Worker_6,PRJ103,Plumber,8.0,2,10.0
2025-06-10,1005,Worker_6,PRJ103,Plumber,8.0,0,8.0
2025-06-11,1005,Worker_6,PRJ103,Plumber,8.0,0,8.0
2025-06-12,1005,Worker_6,PRJ103,Plumber,9.0,2,11.0
2025-06-13,1005,Worker_6,PRJ103,Plumber,8.0,1,9.0
2025-06-16,1005,Worker_6,PRJ103,Plumber,8.0,0,8.0
2025-06-17,1005,Worker_6,PRJ103,Plumber,7.5,0,7.5
2025-06-18,1005,Worker_6,PRJ103,Plumber,8.0,0,8.0
2025-06-19,1005,Worker_6,PRJ103,Plumber,8.0,0,8.0
2025-06-20,1005,Worker_6,PRJ103,Plumber,7.5,0,7.5
2025-06-09,1006,Worker_7,PRJ103,Carpenter,8.0,2,10.0
2025-06-10,1006,Worker_7,PRJ103,Carpenter,8.0,0,8.0
2025-06-11,1006,Worker_7,PRJ103,Carpenter,6.0,0,6.0
2025-06-12,1006,Worker_7,PRJ103,Carpenter,8.0,1,9.0
2025-06-13,1006,Worker_7,PRJ103,Carpenter,8.0,2,10.0
2025-06-16,1006,Worker_7,PRJ103,Carpenter,8.0,2,10.0
2025-06-17,1006,Worker_7,PRJ103,Carpenter,8.0,1,9.0
2025-06-18,1006,Worker_7,PRJ103,Carpenter,9.0,0,9.0
2025-06-19,1006,Worker_7,PRJ103,Carpenter,8.0,2,10.0
2025-06-20,1006,Worker_7,PRJ103,Carpenter,9.0,2,11.0
2025-06-09,1007,Worker_8,PRJ100,Laborer,8.0,1,9.0
2025-06-10,1007,Worker_8,PRJ100,Laborer,8.0,2,10.0
2025-06-11,1007,Worker_8,PRJ100,Laborer,6.0,0,6.0
2025-06-12,1007,Worker_8,PRJ100,Laborer,6.0,0,6.0
2025-06-13,1007,Worker_8,PRJ100,Laborer,8.0,0,8.0
2025-06-16,1007,Worker_8,PRJ100,Laborer,7.5,0,7.5
2025-06-17,1007,Worker_8,PRJ100,Laborer,8.0,1,9.0
2025-06-18,1007,Worker_8,PRJ100,Laborer,8.0,0,8.0
2025-06-19,1007,Worker_8,PRJ100,Laborer,6.0,0,6.0
2025-06-20,1007,Worker_8,PRJ100,Laborer,8.0,0,8.0
2025-06-09,1008,Worker_9,PRJ101,Carpenter,7.5,0,7.5
2025-06-10,1008,Worker_9,PRJ101,Carpenter,8.0,2,10.0
2025-06-11,1008,Worker_9,PRJ101,Carpenter,8.0,0,8.0
2025-06-12,1008,Worker_9,PRJ101,Carpenter,8.0,0,8.0
2025-06-13,1008,Worker_9,PRJ101,Carpenter,7.5,0,7.5
2025-06-16,1008,Worker_9,PRJ101,Carpenter,8.0,2,10.0
2025-06-17,1008,Worker_9,PRJ101,Carpenter,6.0,0,6.0
2025-06-18,1008,Worker_9,PRJ101,Carpenter,8.0,0,8.0
2025-06-19,1008,Worker_9,PRJ101,Carpenter,7.5,0,7.5
2025-06-20,1008,Worker_9,PRJ101,Carpenter,8.0,0,8.0
2025-06-09,1009,Worker_10,PRJ104,Plumber,6.0,0,6.0
2025-06-10,1009,Worker_10,PRJ104,Plumber,8.0,2,10.0
2025-06-11,1009,Worker_10,PRJ104,Plumber,8.0,0,8.0
2025-06-12,1009,Worker_10,PRJ104,Plumber,9.0,1,10.0
2025-06-13,1009,Worker_10,PRJ104,Plumber,9.0,0,9.0
2025-06-16,1009,Worker_10,PRJ104,Plumber,8.0,0,8.0
